# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_gofr[1] c_gofr[2] c_gofr[3] c_gofr[4] c_gofr[5] c_gofr[6] c_gofr[7]
10000 500
395 11.835 0.985936 945.313 0.992074 48.7307 0.989844 48.7621
396 11.865 0.988171 952.442 0.995176 49.1004 0.991182 49.131
397 11.895 0.990675 959.625 0.994337 49.4715 0.99355 49.5026
398 11.925 0.993233 966.863 0.999753 49.8466 0.995816 49.877
399 11.955 0.995973 974.158 1.00417 50.2252 0.998274 50.2542
400 11.985 0.9986 981.509 1.00632 50.6066 1.0005 50.6341
401 12.015 1.00115 988.915 1.00714 50.9902 1.00318 51.017
402 12.045 1.00386 996.378 1.01035 51.3769 1.00559 51.4027
403 12.075 1.00627 1003.9 1.0115 51.766 1.00739 51.791
404 12.105 1.00861 1011.47 1.01196 52.1572 1.00954 52.1821
